sch,sch_dep,sch_par,sid,story_dep,story_par,text
"There once was a crow.  The crow was sitting on a branch of a tree.  Some cheese was in the beak of the crow.  
A fox observed the crow and tried to discover how to get the cheese.  
The fox came and stood under the tree.  
The fox looked toward the crow and said that he saw a noble bird who was above him.  
The fox said that the beauty of the bird was incomparable.  
The fox said that the hue of the plumage of the bird was exquisite.  
The fox said that -- if the sweetness of the voice of the bird is equal to the fairness of the appearance of the bird -- the bird would be undoubtedly the queen of every bird.  
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing.  
The cheese fell.  
The fox snatched the cheese, said that the crow was able to sing and the fox said that the crow needed wits.  
","1	There	there	_	EX	_	3	expl	_	_
5	they	they	_	PRP	_	7	nsubj	_	_
6	both	both	_	DT	_	5	det	_	_
7	had	have	_	VBD	_	2	conj	_	_
8	some	some	_	DT	_	9	det	_	_
9	lemonade	lemonade	_	NN	_	7	dobj	_	_
10	to	to	_	TO	_	11	mark	_	_
11	drink	drink	_	VB	_	9	acl	_	_
12	.	.	_	.	_	2	punct	_	_

1	Alyssa	Alyssa	_	NNP	_	2	nsubj	_	_
2	called	call	_	VBD	_	0	root	_	_
3	her	she	_	PRP$	_	4	nmod:poss	_	_
4	friends	friend	_	NNS	_	5	nsubj	_	_
5	Kristin	Kristin	_	NNP	_	2	xcomp	_	_
6	and	and	_	CC	_	5	cc	_	_
7	Rachel	Rachel	_	NNP	_	5	conj	_	_
8	to	to	_	TO	_	9	mark	_	_
9	meet	meet	_	VB	_	5	acl	_	_
10	at	at	_	IN	_	13	case	_	_
11	Ellen	Ellen	_	NNP	_	13	nmod:poss	_	_
12	's	's	_	POS	_	11	case	_	_
13	house	house	_	NN	_	9	nmod	_	_
14	.	.	_	.	_	2	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	girls	girl	_	NNS	_	3	nsubj	_	_
3	traded	trade	_	VBD	_	0	root	_	_
4	stories	story	_	NNS	_	3	dobj	_	_
5	and	and	_	CC	_	3	cc	_	_
6	caught	catch	_	VBD	_	3	conj	_	_
7	up	up	_	RP	_	6	compound:prt	_	_
8	on	on	_	IN	_	10	case	_	_
9	their	they	_	PRP$	_	10	nmod:poss	_	_
10	lives	life	_	NNS	_	6	nmod	_	_
11	.	.	_	.	_	3	punct	_	_

1	It	it	_	PRP	_	5	nsubj	_	_
2	was	be	_	VBD	_	5	cop	_	_
3	a	a	_	DT	_	5	det	_	_
4	happy	happy	_	JJ	_	5	amod	_	_
5	time	time	_	NN	_	0	root	_	_
6	for	for	_	IN	_	7	case	_	_
7	everyone	everyone	_	NN	_	5	nmod	_	_
8	.	.	_	.	_	5	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	girls	girl	_	NNS	_	3	nsubj	_	_
3	went	go	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	6	case	_	_
5	a	a	_	DT	_	6	det	_	_
6	restaurant	restaurant	_	NN	_	3	nmod	_	_
7	for	for	_	IN	_	8	case	_	_
8	dinner	dinner	_	NN	_	3	nmod	_	_
9	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	restaurant	restaurant	_	NN	_	3	nsubj	_	_
3	had	have	_	VBD	_	0	root	_	_
4	a	a	_	DT	_	5	det	_	_
5	special	special	_	JJ	_	3	dobj	_	_
6	on	on	_	IN	_	7	case	_	_
7	catfish	catfish	_	NN	_	3	nmod	_	_
8	.	.	_	.	_	3	punct	_	_

1	Alyssa	Alyssa	_	NNP	_	2	nsubj	_	_
2	enjoyed	enjoy	_	VBD	_	0	root	_	_
3	the	the	_	DT	_	4	det	_	_
4	restaurant	restaurant	_	NN	_	6	nmod:poss	_	_
5	's	's	_	POS	_	4	case	_	_
6	special	special	_	JJ	_	2	dobj	_	_
7	.	.	_	.	_	2	punct	_	_

1	Ellen	Ellen	_	NNP	_	2	nsubj	_	_
2	ordered	order	_	VBD	_	0	root	_	_
3	a	a	_	DT	_	4	det	_	_
4	salad	salad	_	NN	_	2	dobj	_	_
5	.	.	_	.	_	2	punct	_	_

1	Kristin	Kristin	_	NNP	_	2	nsubj	_	_
2	had	have	_	VBD	_	0	root	_	_
3	soup	soup	_	NN	_	2	dobj	_	_
4	.	.	_	.	_	2	punct	_	_

1	Rachel	Rachel	_	NNP	_	2	nsubj	_	_
2	had	have	_	VBD	_	0	root	_	_
3	a	a	_	DT	_	4	det	_	_
4	steak	steak	_	NN	_	2	dobj	_	_
5	.	.	_	.	_	2	punct	_	_

1	After	after	_	IN	_	2	mark	_	_
2	eating	eat	_	VBG	_	6	advcl	_	_
3	,	,	_	,	_	6	punct	_	_
4	the	the	_	DT	_	5	det	_	_
5	ladies	lady	_	NNS	_	6	nsubj	_	_
6	went	go	_	VBD	_	0	root	_	_
7	back	back	_	RB	_	6	advmod	_	_
8	to	to	_	TO	_	11	case	_	_
9	Ellen	Ellen	_	NNP	_	11	nmod:poss	_	_
10	's	's	_	POS	_	9	case	_	_
11	house	house	_	NN	_	6	nmod	_	_
12	to	to	_	TO	_	13	mark	_	_
13	have	have	_	VB	_	6	xcomp	_	_
14	fun	fun	_	NN	_	13	dobj	_	_
15	.	.	_	.	_	6	punct	_	_

1	They	they	_	PRP	_	2	nsubj	_	_
2	had	have	_	VBD	_	0	root	_	_
3	lots	lot	_	NNS	_	2	dobj	_	_
4	of	of	_	IN	_	5	case	_	_
5	fun	fun	_	NN	_	3	nmod	_	_
6	.	.	_	.	_	2	punct	_	_

1	They	they	_	PRP	_	2	nsubj	_	_
2	stayed	stay	_	VBD	_	0	root	_	_
3	the	the	_	DT	_	4	det	_	_
4	night	night	_	NN	_	2	nmod:tmod	_	_
5	because	because	_	IN	_	8	mark	_	_
6	they	they	_	PRP	_	8	nsubjpass	_	_
7	were	be	_	VBD	_	8	auxpass	_	_
8	tired	tire	_	VBN	_	2	advcl	_	_
9	.	.	_	.	_	2	punct	_	_

1	Alyssa	Alyssa	_	NNP	_	3	nsubj	_	_
2	was	be	_	VBD	_	3	cop	_	_
3	happy	happy	_	JJ	_	0	root	_	_
4	to	to	_	TO	_	5	mark	_	_
5	spend	spend	_	VB	_	3	xcomp	_	_
6	time	time	_	NN	_	5	dobj	_	_
7	with	with	_	IN	_	9	case	_	_
8	her	she	_	PRP$	_	9	nmod:poss	_	_
9	friends	friend	_	NNS	_	5	nmod	_	_
10	again	again	_	RB	_	5	advmod	_	_
11	.	.	_	.	_	3	punct	_	_

","(S (NP (NNP Alyssa)) (VP (VBD got) (PP (TO to) (NP (DT the) (NN beach))) (PP (IN after) (NP (DT a) (JJ long) (NN trip)))) (. .)))
(S (NP (PRP She)) (VP (VBZ 's) (PP (IN from) (NP (NNP Charlotte)))) (. .)))
(S (NP (PRP She)) (VP (VBD traveled) (PP (IN from) (NP (NNP Atlanta)))) (. .)))
(S (NP (PRP She)) (VP (VBZ 's) (ADVP (RB now)) (PP (IN in) (NP (NNP Miami)))) (. .)))
(S (NP (PRP She)) (VP (VBD went) (PP (TO to) (NP (NNP Miami))) (S (VP (TO to) (VP (VB visit) (NP (DT some) (NNS friends)))))) (. .)))
(S (CC But) (S (NP (PRP she)) (VP (VBD wanted) (NP (DT some) (NN time)) (PP (TO to) (NP (PRP herself))) (PP (IN at) (NP (DT the) (NN beach))))) (, ,) (IN so) (S (NP (PRP she)) (VP (VBD went) (S (NP (EX there)) (ADJP (RB first))))) (. .)))
(S (PP (IN After) (S (VP (VP (VBG going) (NP (NN swimming))) (CC and) (VP (VBG laying) (PRT (RP out)))))) (, ,) (NP (PRP she)) (VP (VBD went) (PP (TO to) (NP (NP (PRP$ her) (NN friend)) (NP (NP (NNP Ellen) (POS 's)) (NN house))))) (. .)))
(S (NP (NNP Ellen)) (VP (VBD greeted) (SBAR (S (NP (NNP Alyssa) (CC and) (PRP they)) (DT both) (VP (VBD had) (NP (DT some) (NN lemonade) (S (VP (TO to) (VP (VB drink))))))))) (. .)))
(S (NP (NNP Alyssa)) (VP (VBD called) (NP (PRP$ her) (NNS friends)) (S (NP (NNP Kristin) (CC and) (NNP Rachel)) (VP (TO to) (VP (VB meet) (PP (IN at) (NP (NP (NNP Ellen) (POS 's)) (NN house))))))) (. .)))
(S (NP (DT The) (NNS girls)) (VP (VP (VBD traded) (NP (NNS stories))) (CC and) (VP (VBD caught) (PRT (RP up)) (PP (IN on) (NP (PRP$ their) (NNS lives))))) (. .)))
(S (NP (PRP It)) (VP (VBD was) (NP (NP (DT a) (JJ happy) (NN time)) (PP (IN for) (NP (NN everyone))))) (. .)))
(S (NP (DT The) (NNS girls)) (VP (VBD went) (PP (TO to) (NP (DT a) (NN restaurant))) (PP (IN for) (NP (NN dinner)))) (. .)))
(S (NP (DT The) (NN restaurant)) (VP (VBD had) (NP (NP (DT a) (JJ special)) (PP (IN on) (NP (NN catfish))))) (. .)))
(S (NP (NNP Alyssa)) (VP (VBD enjoyed) (NP (NP (DT the) (NN restaurant) (POS 's)) (JJ special))) (. .)))
(S (NP (NNP Ellen)) (VP (VBD ordered) (NP (DT a) (NN salad))) (. .)))
(S (NP (NNP Kristin)) (VP (VBD had) (NP (NN soup))) (. .)))
(S (NP (NNP Rachel)) (VP (VBD had) (NP (DT a) (NN steak))) (. .)))
(S (PP (IN After) (S (VP (VBG eating)))) (, ,) (NP (DT the) (NNS ladies)) (VP (VBD went) (ADVP (RB back)) (PP (TO to) (NP (NP (NNP Ellen) (POS 's)) (NN house) (S (VP (TO to) (VP (VB have) (NP (NN fun)))))))) (. .)))
(S (NP (PRP They)) (VP (VBD had) (NP (NP (NNS lots)) (PP (IN of) (NP (NN fun))))) (. .)))
(S (NP (PRP They)) (VP (VBD stayed) (NP-TMP (DT the) (NN night)) (SBAR (IN because) (S (NP (PRP they)) (VP (VBD were) (ADJP (VBN tired)))))) (. .)))
(S (NP (NNP Alyssa)) (VP (VBD was) (ADJP (JJ happy) (S (VP (TO to) (VP (VB spend) (NP (NN time)) (PP (IN with) (NP (PRP$ her) (NNS friends))) (ADVP (RB again))))))) (. .)))
","Alyssa got to the beach after a long trip. She's from Charlotte. She traveled from Atlanta. She's now in Miami. She went to Miami to visit some friends. But she wanted some time to herself at the beach, so she went there first. After going swimming and laying out, she went to her friend Ellen's house. Ellen greeted Alyssa and they both had some lemonade to drink. Alyssa called her friends Kristin and Rachel to meet at Ellen's house. The girls traded stories and caught up on their lives. It was a happy time for everyone. The girls went to a restaurant for dinner. The restaurant had a special on catfish. Alyssa enjoyed the restaurant's special. Ellen ordered a salad. Kristin had soup. Rachel had a steak. After eating, the ladies went back to Ellen's house to have fun. They had lots of fun. They stayed the night because they were tired. Alyssa was happy to spend time with her friends again.
"
"There once was a fat bull.  The bull was grazing in a meadow.  
A lion watched the bull and salivated because the lion wanted to eat the bull.  
The lion didn't attack the bull because the lion feared sharp every horn of the bull.  
The lion began to be hungry and decided to attempt to kill the bull.  
The lion planned to trick the bull because the lion wasn't able to fight the bull.  
The lion walked toward the bull and began to feign that the lion was friendly.  
The lion said to the bull that the lion admired the body of the bull, admired the head of the bull, he admired every shoulder of the bull and admired every thigh of the bull.  
The lion advised the bull to remove every horn of the bull because every horn of the bull was ugly.  
The lion succeeded in persuading the bull to remove every horn of the bull.  
The lion ate the bull, and the bull began to be defenseless.  
","1	There	there	_	EX	_	6	expl	_	_
2	once	once	_	RB	_	6	advmod	_	_
3	was	be	_	VBD	_	6	cop	_	_
4	a	a	_	DT	_	6	det	_	_
5	fat	fat	_	JJ	_	6	amod	_	_
6	bull	bull	_	NN	_	0	root	_	_
7	.	.	_	.	_	6	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	bull	bull	_	NN	_	4	nsubj	_	_
3	was	be	_	VBD	_	4	cop	_	_
4	grazing	grazing	_	NN	_	0	root	_	_
5	in	in	_	IN	_	7	case	_	_
6	a	a	_	DT	_	7	det	_	_
7	meadow	meadow	_	NN	_	4	nmod	_	_
8	.	.	_	.	_	4	punct	_	_

1	A	a	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	watched	watch	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	bull	bull	_	NN	_	3	dobj	_	_
6	and	and	_	CC	_	3	cc	_	_
7	salivated	salivate	_	VBD	_	3	conj	_	_
8	because	because	_	IN	_	11	mark	_	_
9	the	the	_	DT	_	10	det	_	_
10	lion	lion	_	NN	_	11	nsubj	_	_
11	wanted	want	_	VBD	_	7	advcl	_	_
12	to	to	_	TO	_	13	mark	_	_
13	eat	eat	_	VB	_	11	xcomp	_	_
14	the	the	_	DT	_	15	det	_	_
15	bull	bull	_	NN	_	13	dobj	_	_
16	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	5	nsubj	_	_
3	did	do	_	VBD	_	5	aux	_	_
4	n't	not	_	RB	_	5	neg	_	_
5	attack	attack	_	VB	_	0	root	_	_
6	the	the	_	DT	_	7	det	_	_
7	bull	bull	_	NN	_	5	dobj	_	_
8	because	because	_	IN	_	11	mark	_	_
9	the	the	_	DT	_	10	det	_	_
10	lion	lion	_	NN	_	11	nsubj	_	_
11	feared	fear	_	VBD	_	5	advcl	_	_
12	sharp	sharp	_	JJ	_	14	amod	_	_
13	every	every	_	DT	_	14	det	_	_
14	horn	horn	_	NN	_	11	dobj	_	_
15	of	of	_	IN	_	17	case	_	_
16	the	the	_	DT	_	17	det	_	_
17	bull	bull	_	NN	_	14	nmod	_	_
18	.	.	_	.	_	5	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	began	begin	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	6	mark	_	_
5	be	be	_	VB	_	6	cop	_	_
6	hungry	hungry	_	JJ	_	3	xcomp	_	_
7	and	and	_	CC	_	3	cc	_	_
8	decided	decide	_	VBD	_	3	conj	_	_
9	to	to	_	TO	_	10	mark	_	_
10	attempt	attempt	_	VB	_	8	xcomp	_	_
11	to	to	_	TO	_	12	mark	_	_
12	kill	kill	_	VB	_	10	xcomp	_	_
13	the	the	_	DT	_	14	det	_	_
14	bull	bull	_	NN	_	12	dobj	_	_
15	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	planned	plan	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	5	mark	_	_
5	trick	trick	_	VB	_	3	xcomp	_	_
6	the	the	_	DT	_	7	det	_	_
7	bull	bull	_	NN	_	5	dobj	_	_
8	because	because	_	IN	_	13	mark	_	_
9	the	the	_	DT	_	10	det	_	_
10	lion	lion	_	NN	_	13	nsubj	_	_
11	was	be	_	VBD	_	13	cop	_	_
12	n't	not	_	RB	_	13	neg	_	_
13	able	able	_	JJ	_	3	advcl	_	_
14	to	to	_	TO	_	15	mark	_	_
15	fight	fight	_	VB	_	13	xcomp	_	_
16	the	the	_	DT	_	17	det	_	_
17	bull	bull	_	NN	_	15	dobj	_	_
18	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	walked	walk	_	VBD	_	0	root	_	_
4	toward	toward	_	IN	_	6	case	_	_
5	the	the	_	DT	_	6	det	_	_
6	bull	bull	_	NN	_	3	nmod	_	_
7	and	and	_	CC	_	3	cc	_	_
8	began	begin	_	VBD	_	3	conj	_	_
9	to	to	_	TO	_	10	mark	_	_
10	feign	feign	_	VB	_	8	xcomp	_	_
11	that	that	_	IN	_	15	mark	_	_
12	the	the	_	DT	_	13	det	_	_
13	lion	lion	_	NN	_	15	nsubj	_	_
14	was	be	_	VBD	_	15	cop	_	_
15	friendly	friendly	_	JJ	_	10	ccomp	_	_
16	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	said	say	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	6	case	_	_
5	the	the	_	DT	_	6	det	_	_
6	bull	bull	_	NN	_	3	nmod	_	_
7	that	that	_	IN	_	10	mark	_	_
8	the	the	_	DT	_	9	det	_	_
9	lion	lion	_	NN	_	10	nsubj	_	_
10	admired	admire	_	VBD	_	3	ccomp	_	_
11	the	the	_	DT	_	12	det	_	_
12	body	body	_	NN	_	10	dobj	_	_
13	of	of	_	IN	_	15	case	_	_
14	the	the	_	DT	_	15	det	_	_
15	bull	bull	_	NN	_	12	nmod	_	_
16	,	,	_	,	_	10	punct	_	_
17	admired	admire	_	VBD	_	10	conj	_	_
18	the	the	_	DT	_	19	det	_	_
19	head	head	_	NN	_	17	dobj	_	_
20	of	of	_	IN	_	22	case	_	_
21	the	the	_	DT	_	22	det	_	_
22	bull	bull	_	NN	_	19	nmod	_	_
23	,	,	_	,	_	10	punct	_	_
24	he	he	_	PRP	_	25	nsubj	_	_
25	admired	admire	_	VBD	_	10	conj	_	_
26	every	every	_	DT	_	27	det	_	_
27	shoulder	shoulder	_	NN	_	25	dobj	_	_
28	of	of	_	IN	_	30	case	_	_
29	the	the	_	DT	_	30	det	_	_
30	bull	bull	_	NN	_	27	nmod	_	_
31	and	and	_	CC	_	10	cc	_	_
32	admired	admire	_	VBD	_	10	conj	_	_
33	every	every	_	DT	_	34	det	_	_
34	thigh	thigh	_	NN	_	32	dobj	_	_
35	of	of	_	IN	_	37	case	_	_
36	the	the	_	DT	_	37	det	_	_
37	bull	bull	_	NN	_	34	nmod	_	_
38	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	advised	advise	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	bull	bull	_	NN	_	3	dobj	_	_
6	to	to	_	TO	_	7	mark	_	_
7	remove	remove	_	VB	_	3	xcomp	_	_
8	every	every	_	DT	_	9	det	_	_
9	horn	horn	_	NN	_	7	dobj	_	_
10	of	of	_	IN	_	12	case	_	_
11	the	the	_	DT	_	12	det	_	_
12	bull	bull	_	NN	_	9	nmod	_	_
13	because	because	_	IN	_	20	mark	_	_
14	every	every	_	DT	_	15	det	_	_
15	horn	horn	_	NN	_	20	nsubj	_	_
16	of	of	_	IN	_	18	case	_	_
17	the	the	_	DT	_	18	det	_	_
18	bull	bull	_	NN	_	15	nmod	_	_
19	was	be	_	VBD	_	20	cop	_	_
20	ugly	ugly	_	JJ	_	7	advcl	_	_
21	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	succeeded	succeed	_	VBD	_	0	root	_	_
4	in	in	_	IN	_	5	mark	_	_
5	persuading	persuade	_	VBG	_	3	advcl	_	_
6	the	the	_	DT	_	7	det	_	_
7	bull	bull	_	NN	_	5	dobj	_	_
8	to	to	_	TO	_	9	mark	_	_
9	remove	remove	_	VB	_	5	advcl	_	_
10	every	every	_	DT	_	11	det	_	_
11	horn	horn	_	NN	_	9	dobj	_	_
12	of	of	_	IN	_	14	case	_	_
13	the	the	_	DT	_	14	det	_	_
14	bull	bull	_	NN	_	11	nmod	_	_
15	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	lion	lion	_	NN	_	3	nsubj	_	_
3	ate	eat	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	bull	bull	_	NN	_	3	dobj	_	_
6	,	,	_	,	_	3	punct	_	_
7	and	and	_	CC	_	3	cc	_	_
8	the	the	_	DT	_	9	det	_	_
9	bull	bull	_	NN	_	10	nsubj	_	_
10	began	begin	_	VBD	_	3	conj	_	_
11	to	to	_	TO	_	13	mark	_	_
12	be	be	_	VB	_	13	cop	_	_
13	defenseless	defenseless	_	JJ	_	10	xcomp	_	_
14	.	.	_	.	_	3	punct	_	_

","(S (NP (EX There)) (ADVP (RB once)) (VP (VBD was) (NP (DT a) (JJ fat) (NN bull))) (. .)))
(S (NP (DT The) (NN bull)) (VP (VBD was) (NP (NP (NN grazing)) (PP (IN in) (NP (DT a) (NN meadow))))) (. .)))
(S (NP (DT A) (NN lion)) (VP (VP (VBD watched) (NP (DT the) (NN bull))) (CC and) (VP (VBD salivated) (SBAR (IN because) (S (NP (DT the) (NN lion)) (VP (VBD wanted) (S (VP (TO to) (VP (VB eat) (NP (DT the) (NN bull)))))))))) (. .)))
(S (NP (DT The) (NN lion)) (VP (VBD did) (RB n't) (VP (VB attack) (NP (DT the) (NN bull)) (SBAR (IN because) (S (NP (DT the) (NN lion)) (VP (VBD feared) (NP (NP (JJ sharp) (DT every) (NN horn)) (PP (IN of) (NP (DT the) (NN bull))))))))) (. .)))
(S (NP (DT The) (NN lion)) (VP (VP (VBD began) (S (VP (TO to) (VP (VB be) (ADJP (JJ hungry)))))) (CC and) (VP (VBD decided) (S (VP (TO to) (VP (VB attempt) (S (VP (TO to) (VP (VB kill) (NP (DT the) (NN bull)))))))))) (. .)))
(S (NP (DT The) (NN lion)) (VP (VBD planned) (S (VP (TO to) (VP (VB trick) (NP (DT the) (NN bull)) (SBAR (IN because) (S (NP (DT the) (NN lion)) (VP (VBD was) (RB n't) (ADJP (JJ able) (S (VP (TO to) (VP (VB fight) (NP (DT the) (NN bull))))))))))))) (. .)))
(S (NP (DT The) (NN lion)) (VP (VP (VBD walked) (PP (IN toward) (NP (DT the) (NN bull)))) (CC and) (VP (VBD began) (S (VP (TO to) (VP (VB feign) (SBAR (IN that) (S (NP (DT the) (NN lion)) (VP (VBD was) (ADJP (JJ friendly)))))))))) (. .)))
(S (S (NP (DT The) (NN lion)) (VP (VBD said) (PP (TO to) (NP (DT the) (NN bull))) (SBAR (IN that) (S (NP (DT the) (NN lion)) (VP (VBD admired) (SBAR (S (NP (NP (DT the) (NN body)) (PP (IN of) (NP (DT the) (NN bull)))) (, ,) (VP (VBD admired) (NP (NP (DT the) (NN head)) (PP (IN of) (NP (DT the) (NN bull)))))))))))) (, ,) (NP (PRP he)) (VP (VP (VBD admired) (NP (NP (DT every) (NN shoulder)) (PP (IN of) (NP (DT the) (NN bull))))) (CC and) (VP (VBD admired) (NP (NP (DT every) (NN thigh)) (PP (IN of) (NP (DT the) (NN bull)))))) (. .)))
(S (NP (DT The) (NN lion)) (VP (VBD advised) (NP (DT the) (NN bull) (S (VP (TO to) (VP (VB remove) (NP (NP (DT every) (NN horn)) (PP (IN of) (NP (DT the) (NN bull)))) (SBAR (IN because) (S (NP (NP (DT every) (NN horn)) (PP (IN of) (NP (DT the) (NN bull)))) (VP (VBD was) (ADJP (JJ ugly)))))))))) (. .)))
(S (NP (DT The) (NN lion)) (VP (VBD succeeded) (PP (IN in) (S (VP (VBG persuading) (NP (DT the) (NN bull) (S (VP (TO to) (VP (VB remove) (NP (NP (DT every) (NN horn)) (PP (IN of) (NP (DT the) (NN bull)))))))))))) (. .)))
(S (S (NP (DT The) (NN lion)) (VP (VBD ate) (NP (DT the) (NN bull)))) (, ,) (CC and) (S (NP (DT the) (NN bull)) (VP (VBD began) (S (VP (TO to) (VP (VB be) (ADJP (JJ defenseless))))))) (. .)))
",fables-02,"1	A	a	_	DT	_	2	det	_	_
2	Lion	Lion	_	NNP	_	3	nsubj	_	_
3	watched	watch	_	VBD	_	0	root	_	_
4	a	a	_	DT	_	7	det	_	_
5	fat	fat	_	JJ	_	7	amod	_	_
6	Bull	bull	_	NN	_	7	compound	_	_
7	feeding	feeding	_	NN	_	3	dobj	_	_
8	in	in	_	IN	_	10	case	_	_
9	a	a	_	DT	_	10	det	_	_
10	meadow	meadow	_	NN	_	3	nmod	_	_
11	,	,	_	,	_	3	punct	_	_
12	and	and	_	CC	_	3	cc	_	_
13	his	he	_	PRP$	_	14	nmod:poss	_	_
14	mouth	mouth	_	NN	_	15	nsubj	_	_
15	watered	water	_	VBD	_	3	conj	_	_
16	when	when	_	WRB	_	18	advmod	_	_
17	he	he	_	PRP	_	18	nsubj	_	_
18	thought	think	_	VBD	_	15	advcl	_	_
19	of	of	_	IN	_	22	case	_	_
20	the	the	_	DT	_	22	det	_	_
21	royal	royal	_	JJ	_	22	amod	_	_
22	feast	feast	_	NN	_	18	nmod	_	_
23	he	he	_	PRP	_	25	nsubj	_	_
24	would	would	_	MD	_	25	aux	_	_
25	make	make	_	VB	_	22	acl:relcl	_	_
26	,	,	_	,	_	3	punct	_	_
27	but	but	_	CC	_	3	cc	_	_
28	he	he	_	PRP	_	31	nsubj	_	_
29	did	do	_	VBD	_	31	aux	_	_
30	not	not	_	RB	_	31	neg	_	_
31	dare	dare	_	VB	_	3	conj	_	_
32	to	to	_	TO	_	33	mark	_	_
33	attack	attack	_	VB	_	31	xcomp	_	_
34	him	he	_	PRP	_	33	dobj	_	_
35	,	,	_	,	_	31	punct	_	_
36	for	for	_	IN	_	39	mark	_	_
37	he	he	_	PRP	_	39	nsubj	_	_
38	was	be	_	VBD	_	39	cop	_	_
39	afraid	afraid	_	JJ	_	31	advcl	_	_
40	of	of	_	IN	_	43	case	_	_
41	his	he	_	PRP$	_	43	nmod:poss	_	_
42	sharp	sharp	_	JJ	_	43	amod	_	_
43	horns	horn	_	NNS	_	39	nmod	_	_
44	.	.	_	.	_	3	punct	_	_

1	Hunger	hunger	_	NN	_	6	nsubj	_	_
2	,	,	_	,	_	6	punct	_	_
3	however	however	_	RB	_	6	advmod	_	_
4	,	,	_	,	_	6	punct	_	_
5	presently	presently	_	RB	_	6	advmod	_	_
6	compelled	compel	_	VBN	_	0	root	_	_
7	him	he	_	PRP	_	6	dobj	_	_
8	to	to	_	TO	_	9	mark	_	_
9	do	do	_	VB	_	6	xcomp	_	_
10	something	something	_	NN	_	9	dobj	_	_
11	:	:	_	:	_	6	punct	_	_
12	and	and	_	CC	_	6	cc	_	_
13	as	as	_	IN	_	20	mark	_	_
14	the	the	_	DT	_	15	det	_	_
15	use	use	_	NN	_	20	nsubj	_	_
16	of	of	_	IN	_	17	case	_	_
17	force	force	_	NN	_	15	nmod	_	_
18	did	do	_	VBD	_	20	aux	_	_
19	not	not	_	RB	_	20	neg	_	_
20	promise	promise	_	NN	_	24	advcl	_	_
21	success	success	_	NN	_	20	dobj	_	_
22	,	,	_	,	_	24	punct	_	_
23	he	he	_	PRP	_	24	nsubj	_	_
24	determined	determine	_	VBD	_	6	conj	_	_
25	to	to	_	TO	_	26	mark	_	_
26	resort	resort	_	VB	_	24	xcomp	_	_
27	to	to	_	TO	_	28	case	_	_
28	artifice	artifice	_	NN	_	26	nmod	_	_
29	.	.	_	.	_	6	punct	_	_

1	Going	go	_	VBG	_	11	advcl	_	_
2	up	up	_	RP	_	1	compound:prt	_	_
3	to	to	_	TO	_	5	case	_	_
4	the	the	_	DT	_	5	det	_	_
5	Bull	Bull	_	NNP	_	1	nmod	_	_
6	in	in	_	IN	_	8	case	_	_
7	friendly	friendly	_	JJ	_	8	amod	_	_
8	fashion	fashion	_	NN	_	1	nmod	_	_
9	,	,	_	,	_	11	punct	_	_
10	he	he	_	PRP	_	11	nsubj	_	_
11	said	say	_	VBD	_	0	root	_	_
12	to	to	_	TO	_	13	case	_	_
13	him	he	_	PRP	_	11	nmod	_	_
14	,	,	_	,	_	11	punct	_	_
15	``	``	_	``	_	11	punct	_	_
16	I	I	_	PRP	_	19	nsubj	_	_
17	can	can	_	MD	_	19	aux	_	_
18	not	not	_	RB	_	19	neg	_	_
19	help	help	_	VB	_	11	ccomp	_	_
20	saying	say	_	VBG	_	19	xcomp	_	_
21	how	how	_	WRB	_	22	advmod	_	_
22	much	much	_	JJ	_	24	advmod	_	_
23	I	I	_	PRP	_	24	nsubj	_	_
24	admire	admire	_	VBP	_	20	ccomp	_	_
